id,cost,time,solution
P1,189,0.532,Route 1: 8 5 ; Route 2: 3 1 2 4 6 7 ; 
P1,189,0.546,Route 1: 4 7 6 2 1 3 ; Route 2: 5 ; Route 3: 8 ; 
P3,100,0.55,Route 1: 8 ; Route 2: 4 5 1 2 3 ; Route 3: 6 7 ; 
P4,245,0.592,Route 1: 5 4 3 2 1 ; Route 2: 6 9 ; Route 3: 7 8 ; 
P4,245,0.607,Route 1: 7 8 ; Route 2: 9 6 ; Route 3: 5 4 3 2 1 ; 
P4,245,0.593,Route 1: 8 7 ; Route 2: 1 2 3 4 5 ; Route 3: 6 9 ; 
P4,245,0.633,Route 1: 5 4 3 2 1 ; Route 2: 6 9 ; Route 3: 7 8 ; 
P4,245,0.683,Route 1: 6 9 ; Route 2: 5 4 3 2 1 ; Route 3: 7 8 ; 
P4,245,0.677,Route 1: 5 4 3 2 1 ; Route 2: 6 9 ; Route 3: 8 7 ; 
P5,118,0.648,Route 1: 9 1 2 8 ; Route 2: 4 5 3 ; Route 3: 7 6 ; 
P5,111,0.724,Route 1: 8 6 7 ; Route 2: 4 1 2 5 ; Route 3: 9 3 ; 
P5,111,0.73,Route 1: 9 3 ; Route 2: 4 1 2 5 ; Route 3: 8 6 7 ; 
P5,111,0.708,Route 1: 7 6 8 ; Route 2: 4 1 2 5 ; Route 3: 9 3 ; 
P5,111,0.691,Route 1: 9 3 ; Route 2: 7 6 8 ; Route 3: 4 1 2 5 ; 
P5,111,0.683,Route 1: 9 3 ; Route 2: 4 1 2 5 ; Route 3: 8 6 7 ; 
P5,111,0.675,Route 1: 4 1 2 5 ; Route 2: 9 3 ; Route 3: 8 6 7 ; 
P6,199,0.864,Route 1: 4 5 1 2 3 ; Route 2: 6 8 7 ; Route 3: 9 10 ; 
P6,199,0.83,Route 1: 7 8 6 ; Route 2: 10 9 ; Route 3: 4 5 1 2 3 ; 
P7,211,0.842,Route 1: 6 9 8 ; Route 2: 7 10 ; Route 3: 5 4 1 2 3 ; 
P7,211,0.813,Route 1: 5 4 2 1 3 ; Route 2: 10 7 ; Route 3: 6 9 8 ; 
P7,211,0.889,Route 1: 8 9 6 ; Route 2: 3 2 1 5 4 ; Route 3: 10 7 ; 
P7,211,0.847,Route 1: 7 10 ; Route 2: 8 9 6 ; Route 3: 3 2 1 5 4 ; 
P8,207,0.74,Route 1: 3 2 9 7 8 1 ; Route 2: 6 10 5 4 ; 
P8,207,0.724,Route 1: 6 10 5 4 ; Route 2: 3 2 9 7 8 1 ; 
P8,207,0.718,Route 1: 10 4 5 6 ; Route 2: 3 2 9 7 8 1 ;
P1,189,0.461,Route 1: 8 ; Route 2: 3 1 2 4 6 7 ; Route 3: 5 ; 
P1,189,0.496,Route 1: 5 ; Route 2: 3 1 2 4 7 6 ; Route 3: 8 ; 
P1,189,0.633,Route 1: 8 ; Route 2: 4 7 6 2 1 3 ; Route 3: 5 ; 
P1,189,0.53,Route 1: 4 6 7 2 1 3 ; Route 2: 8 ; Route 3: 5 ; 
P2,133,0.475,Route 1: 8 6 7 ; Route 2: 5 ; Route 3: 4 3 1 2 ; 
P2,133,0.493,Route 1: 2 4 3 1 ; Route 2: 7 6 8 ; Route 3: 5 ; 
P2,133,0.539,Route 1: 8 6 7 ; Route 2: 2 1 3 4 ; Route 3: 5 ; 
P2,133,0.515,Route 1: 5 ; Route 2: 7 8 6 ; Route 3: 2 1 3 4 ; 
P2,133,0.517,Route 1: 6 8 7 ; Route 2: 4 3 1 2 ; Route 3: 5 ; 
P2,133,0.524,Route 1: 5 ; Route 2: 4 3 1 2 ; Route 3: 7 6 8 ; 
P2,133,0.543,Route 1: 8 6 7 ; Route 2: 3 1 4 2 ; Route 3: 5 ; 
P3,100,0.532,Route 1: 8 ; Route 2: 4 5 1 2 3 ; Route 3: 6 7 ; 
P3,100,0.558,Route 1: 4 5 1 2 3 ; Route 2: 8 ; Route 3: 7 6 ; 
P3,100,0.525,Route 1: 8 ; Route 2: 3 2 1 4 5 ; Route 3: 6 7 ; 
P4,245,0.68,Route 1: 9 6 ; Route 2: 5 4 3 2 1 ; Route 3: 8 7 ; 
P4,245,0.643,Route 1: 6 9 ; Route 2: 7 8 ; Route 3: 1 2 3 4 5 ; 
P4,245,0.66,Route 1: 6 9 ; Route 2: 7 8 ; Route 3: 5 4 3 2 1 ; 
P4,245,0.676,Route 1: 6 9 ; Route 2: 1 2 3 4 5 ; Route 3: 7 8 ; 
P4,245,0.75,Route 1: 6 9 ; Route 2: 5 4 3 2 1 ; Route 3: 8 7 ; 
P5,111,0.779,Route 1: 9 3 ; Route 2: 4 1 2 5 ; Route 3: 8 6 7 ; 
P5,111,0.749,Route 1: 4 1 2 5 ; Route 2: 7 6 8 ; Route 3: 9 3 ; 
P5,111,0.762,Route 1: 4 1 2 5 ; Route 2: 9 3 ; Route 3: 8 6 7 ; 
P5,111,0.724,Route 1: 9 3 ; Route 2: 4 1 2 5 ; Route 3: 7 6 8 ; 
P5,111,0.656,Route 1: 4 1 2 5 ; Route 2: 8 6 7 ; Route 3: 9 3 ; 
P5,111,0.643,Route 1: 9 3 ; Route 2: 8 6 7 ; Route 3: 5 2 1 4 ; 
P5,111,0.671,Route 1: 8 6 7 ; Route 2: 9 3 ; Route 3: 4 1 2 5 ; 
P5,111,0.714,Route 1: 9 3 ; Route 2: 5 2 1 4 ; Route 3: 8 6 7 ; 
P6,199,0.836,Route 1: 7 8 6 ; Route 2: 9 10 ; Route 3: 3 1 2 5 4 ; 
P6,199,0.847,Route 1: 3 1 2 5 4 ; Route 2: 7 8 6 ; Route 3: 9 10 ; 
P6,199,0.766,Route 1: 10 9 ; Route 2: 7 8 6 ; Route 3: 5 4 2 1 3 ; 
P6,199,0.805,Route 1: 6 8 7 ; Route 2: 10 9 ; Route 3: 3 2 1 4 5 ; 
P6,199,0.811,Route 1: 6 8 7 ; Route 2: 10 9 ; Route 3: 4 5 2 1 3 ; 
P6,199,0.962,Route 1: 3 2 1 5 4 ; Route 2: 10 9 ; Route 3: 6 8 7 ; 
P6,199,0.922,Route 1: 3 1 2 5 4 ; Route 2: 6 8 7 ; Route 3: 10 9 ; 
P6,199,0.883,Route 1: 7 8 6 ; Route 2: 9 10 ; Route 3: 3 1 2 4 5 ; 
P7,211,0.951,Route 1: 5 4 1 2 3 ; Route 2: 10 7 ; Route 3: 8 9 6 ; 
P7,211,0.935,Route 1: 7 10 ; Route 2: 6 9 8 ; Route 3: 4 5 1 2 3 ; 
P7,211,0.84,Route 1: 7 10 ; Route 2: 6 9 8 ; Route 3: 5 4 1 2 3 ; 
P7,211,0.85,Route 1: 5 4 2 1 3 ; Route 2: 8 9 6 ; Route 3: 7 10 ; 
P7,211,0.819,Route 1: 3 1 2 5 4 ; Route 2: 10 7 ; Route 3: 8 9 6 ; 
P8,213,0.815,Route 1: 4 5 10 6 2 1 3 ; Route 2: 7 8 9 ; 
P8,207,0.723,Route 1: 10 4 5 6 ; Route 2: 3 2 8 7 9 1 ; 
P8,207,0.761,Route 1: 1 2 8 7 9 3 ; Route 2: 6 10 5 4 ; 
P8,207,0.712,Route 1: 6 10 5 4 ; Route 2: 3 2 9 7 8 1 ; 
P8,207,0.702,Route 1: 1 2 8 7 9 3 ; Route 2: 10 5 4 6 ; 
P8,207,0.682,Route 1: 1 2 8 7 9 3 ; Route 2: 6 5 4 10 ; 
